,species,lat,lon,elev
2,y,25.126881,121.517863,3
3,y,25.124614,121.517647,3
4,y,21.9,106.800003,197
5,y,29.5,117.5,400
6,y,24.6,121.31667,1150
7,y,24.361667,120.727778,315
8,y,26.163056,119.949444,66
9,y,24.463333,118.416111,216
10,y,24.463056,118.415556,194
11,y,25.098056,121.584722,303
12,y,24.361944,120.728056,315
13,y,25.126944,121.518889,156
14,y,24.379444,120.721944,250
15,y,24.376701,120.716956,250
18,y,23.482511,111.795021,233
19,y,24.88333,121.7,340
21,y,24.08333,121.01667,640
29,y,26.72,117.47,243
30,y,29.816667,108.75,1150
31,y,24.466667,118.383333,7
32,y,30.05,109.833333,1744
35,y,29.1,107,920
36,y,26.066667,110.13333,861
38,y,30.353794,119.436458,988
39,y,29.788188,121.777939,200
65,y,23.83,120.98,695
66,y,26.32,116.34,250
67,y,24.81,106.51,1246
68,y,33.32,106.15,920
69,y,23.9,106.61,162
70,y,33.61,106.92,1130
71,y,27.17,107.4,1044
74,y,25.88,116.02,188
75,y,28.67,118.24,127
76,y,26.67,106.33,1307
78,y,22.54,114.05,3
79,y,27.2,109.83,258
80,y,33.22,107.54,488
81,y,28.56,108.5,458
83,y,25.033889,121.5,4
85,y,26.94,108.79,652
86,y,24.819877,106.511936,1246
87,y,28.26005,117.069218,44
88,y,25.3,108.6,893
89,y,33.06,107.03,511
90,y,27.51,108.23,607
91,y,30.02,108.18,676
92,y,29,109.85,316
93,y,27.3,105.28,1556
94,y,29.35,107.61,1465
95,y,27.75,118.03,195
96,y,27.69,108.85,442
102,y,26.72,110.63,485
104,y,29.86,118.43,161
106,y,25.17,110.35,156
108,y,28.26,108.11,744
109,y,28.15,109.2,912
113,y,30.27,120.17,15
115,y,29.33,108.24,848
116,y,29.69,111.02,326
117,y,26.43,110.85,349
118,y,24.07,114.17,200
119,y,25.04,116.42,179
120,y,27.33,118.12,209
121,y,32.58,110.7,751
123,y,29.42,111.13,341
124,y,32.1,114.08,122
126,y,30.6,109.72,645
129,y,28.43,118.19,123
130,y,32.38,109.36,819
132,y,31.04,110.34,861
134,y,29.49,103.39,840
139,y,30.19,119.36,188
140,y,31.37,119.82,4
142,y,24.175587,110.235565,1196
143,y,27.39,114.61,110
144,y,29.86,121.54,8
147,y,24.83,114.14,568
149,y,31.5,110.5,1858
150,y,26.00537,110.599945,612
151,y,31.05,109.41,353
158,y,29.59,121.41,103
160,y,30.06,102.75,774
161,y,29.14,120.97,309
162,y,24.33,116.62,376
164,y,31.82,108.62,1257
166,y,33.15,107.33,479
175,y,31.79,115.4,116
176,y,29.67,109.15,1070
179,y,24.44,114.93,229
181,y,25.60168,110.585686,307
183,y,30.023401,108.185012,676
188,y,32.05,118.79,3
190,y,28.6,116.06,30
194,y,30.29,108.93,1303
201,y,26.58,107.97,747
203,y,31.33,110.78,745
208,y,32.08,118.27,10
209,y,32.287722,105.524765,711
210,y,25.12,113.77,144
212,y,23.65,113.67,94
213,y,26.58,114.1,1201
214,y,24.81,113.18,306
217,y,29.61,115.99,544
220,y,28.676309,118.242051,162
221,y,29.47,103.7,403
225,y,30.273977,120.172974,15
228,y,22.42,114.12,334
229,y,28.44,117.97,64
230,y,25.09,121.55,6
231,y,28.65,105.1,366
233,y,21.9,106.8,197
234,y,25.722231,108.864586,408
240,y,24.6,121.316667,1150
241,y,25.033333,121.5,600
242,y,23.133333,121.316667,615
244,y,24.376667,120.721944,400
247,y,25.031634,113.745146,133
248,y,26.4,110.8,393
249,y,25.0289,113.741,133
250,y,23.167089,112.550904,114
251,y,29.383203,106.523824,356
253,y,27.946853,107.190331,1051
254,y,24.813781,113.184435,306
255,y,28.550025,107.443961,822
256,y,29.496119,103.398589,840
257,y,28.327568,106.203471,1370
261,y,22.097768,107.957979,383
262,y,27.340665,117.492653,231
264,y,25.39996,112.948819,243
265,y,24.399048,113.987821,381
266,y,25.175621,110.351669,156
267,y,23.376207,110.79743,118
268,y,21.981682,108.653798,9
270,y,22.073342,112.666329,28
271,y,25.124499,113.773813,144
272,y,24.466672,112.626493,314
276,y,22.929376,112.044025,334
279,y,26.79023,114.90886,73
280,y,23.03755,114.639319,36
282,y,24.045429,109.85442,136
283,y,22.464142,107.839351,137
284,y,23.25013,111.266023,160
286,y,27.748854,107.465644,968
287,y,32.055645,118.797741,3
288,y,32.38885,109.361869,819
289,y,29.955836,118.248811,268
290,y,32.983099,107.766609,470
295,y,32.085274,118.273326,10
296,y,31.042327,110.340757,861
299,y,27.221519,112.805557,85
300,y,30.290996,108.936374,1303
303,y,28.672732,104.010884,584
306,y,29.371237,112.409331,35
307,y,25.440455,118.698285,391
308,y,25.091075,121.559835,6
309,y,32.637983,103.59895,3036
310,y,29.47037,103.701217,403
311,y,31.865239,106.744731,403
313,y,25.8568,118.80199,752
315,y,31.824099,108.629497,1257
318,y,31.662505,120.833688,5
321,y,26.076106,119.306406,16
322,y,23.127041,113.341527,12
326,y,24.363061,120.723225,250
327,y,24.368303,120.726211,250
328,y,24.371559,120.729269,250
329,y,24.360007,120.732044,250
330,y,24.363586,120.714334,250
331,y,24.371734,120.726164,250
332,y,24.359369,120.728743,250
333,y,24.359555,120.732242,250
334,y,24.371826,120.727297,250
335,y,24.372008,120.727888,250
336,y,24.360368,120.732004,250
337,y,24.359989,120.722099,250
338,y,24.37137,120.724863,250
339,y,24.368846,120.727225,250
340,y,24.370101,120.722077,250
341,y,24.372459,120.72769,250
342,y,24.365137,120.722984,250
343,y,24.360263,120.72406,250
344,y,24.365774,120.726019,250
345,y,24.370737,120.723919,250
346,y,24.359731,120.729255,250
347,y,24.369206,120.726169,250
348,y,24.37011,120.727183,250
349,y,24.358286,120.729337,250
350,y,24.363242,120.723935,250
351,y,24.370113,120.72876,250
352,y,24.359809,120.722562,250
353,y,24.359193,120.731415,250
354,y,24.359356,120.721942,250
355,y,24.358284,120.728194,250
356,y,24.359451,120.724258,250
357,y,24.364507,120.72409,250
358,y,24.368849,120.728408,250
359,y,24.360091,120.728505,250
360,y,24.358741,120.731061,250
361,y,24.360728,120.731293,250
362,y,24.35963,120.723667,250
363,y,24.370925,120.728048,250
364,y,24.371106,120.72856,250
365,y,24.368662,120.724909,250
366,y,24.365769,120.722944,250
367,y,24.359011,120.730715,250
368,y,24.372733,120.729385,250
369,y,24.366953,120.728766,250
370,y,24.358643,120.726695,250
371,y,24.46,118.41,15
372,y,24.5,121.12,2009
374,y,24.58,121.32,1740
377,y,27.243947,112.729951,98
379,y,26.221887,111.631136,132
380,y,27.06032,110.575848,316
381,y,27.443411,109.68514,254
382,y,25.255089,110.050532,175
383,y,24.442178,114.938686,229
384,y,24.33566,116.625881,376
385,y,21.861339,111.981851,13
387,y,25.526439,111.600795,172
390,y,25.570976,111.945802,210
392,y,23.395774,106.626638,740
396,y,24.403562,111.566656,109
398,y,24.186045,113.415062,23
400,y,25.635742,109.592453,452
401,y,23.917736,116.274769,506
404,y,25.742153,110.040007,389
405,y,23.160603,106.288701,807
409,y,33.037845,108.247744,440
414,y,33.156784,107.333733,479
415,y,22.446542,111.031652,346
416,y,23.490446,111.295924,73
420,y,33.327283,106.156715,920
421,y,25.03299,109.926496,394
423,y,23.9022,106.618742,143
429,y,24.095943,110.991129,338
437,y,27.99,108.4,763
440,y,31.370137,109.629918,541
444,y,31.732429,105.9348,441
448,y,29.290189,106.259272,255
451,y,29.157849,107.099276,741
452,y,31.114073,109.87945,262
454,y,31.05468,109.411179,353
455,y,29.32,114.96,175
457,y,28.7,115.38,21
462,y,29.351226,107.616845,738
464,y,31.911853,107.244995,450
470,y,32.536693,107.894969,814
476,y,30.710589,104.088668,527
477,y,30.791258,106.082997,300
479,y,26.587146,114.100817,1201
481,y,26.32496,114.514242,122
485,y,28.52075,114.37098,337
486,y,25.395202,114.358084,222
488,y,24.911106,114.789812,212
489,y,28.436327,118.191314,97
490,y,28.443318,117.976373,64
492,y,29.671778,115.989221,166
493,y,26.326566,116.343476,250
494,y,27.706099,117.060259,321
495,y,27.218447,116.525727,97
496,y,28.315215,117.70945,57
497,y,25.136922,115.393921,452
498,y,24.95476,115.650136,321
499,y,29.61015,115.998104,938
501,y,29.247988,117.862004,120
502,y,27.392869,114.619889,95
503,y,29.243579,113.814207,145
505,y,25.885558,116.027126,188
508,y,26.883388,112.636954,66
509,y,32.144677,110.712211,516
510,y,32.089392,109.815677,1095
511,y,33.31033,108.314391,1058
516,y,29.326488,114.963105,175
519,y,31.237023,120.406916,9
520,y,23.496251,108.623457,122
524,y,24.95476,115.650137,321
530,y,31.92228,119.174162,14
535,y,31.375019,119.823343,4
539,y,31.462191,116.948669,21
544,y,32.394476,119.413201,7
545,y,31.869157,118.802987,5
550,y,29.854053,117.71739,121
560,y,26.837264,116.325753,155
578,y,31.67832,115.879605,348
579,y,30.893783,119.417203,25
580,y,28.59204,119.276247,534
582,y,29.786224,118.182474,159
583,y,29.144543,120.976081,107
585,y,31.526047,120.31968,16
588,y,29.866159,118.431373,161
595,y,31.131368,118.174192,41
599,y,32.059064,119.418318,32
601,y,30.690534,118.406439,23
603,y,28.746779,115.826905,23
604,y,29.590681,121.414633,103
606,y,31.579934,120.299456,9
610,y,28.627021,121.213617,6
612,y,28.253586,121.022805,22
615,y,30.952825,117.791548,42
620,y,30.940716,118.758817,11
621,y,30.553863,114.316006,27
626,y,27.98704,120.65486,76
629,y,27.954691,107.716355,847
630,y,27.69375,108.850061,442
631,y,29.031361,119.63238,50
632,y,29.578225,118.875568,55
645,y,27.756659,118.035307,432
649,y,31.905842,102.206261,3012
650,y,28.154072,109.202889,912
651,y,24.780744,112.377423,239
654,y,27.517207,108.234515,663
656,y,32.445845,104.553645,1316
658,y,26.009594,108.450605,561
659,y,31.331599,110.783719,1016
661,y,29.805032,106.395571,308
664,y,24.831971,114.142574,568
666,y,24.479669,118.089767,73
670,y,27.973349,119.635867,724
676,y,26.588884,107.977112,747
677,y,33.068384,107.031898,511
680,y,23.651079,113.671053,94
684,y,27.561804,119.938731,649
685,y,25.183457,114.338043,156
688,y,25.133406,105.399807,1288
689,y,24.567694,112.080663,387
690,y,26.640478,118.182303,344
691,y,23.089611,114.417425,19
692,y,24.079566,114.176992,200
693,y,23.101721,112.755582,14
695,y,29.457648,109.443795,574
696,y,31.392687,116.332887,115
697,y,29.868336,121.54399,8
698,y,28.074413,119.141815,222
701,y,29.010101,114.41263,388
702,y,28.861475,115.362625,97
705,y,28.45,110.4,370
706,y,27.8,114.68,58
707,y,24.32,109.48,265
709,y,24.98,112.83,800
710,y,24.07,114.2,178
711,y,29.5,121.23,501
712,y,28.6,119.27,534
713,y,29.37,103.08,1050
714,y,29.5,116,106
715,y,23.18,113.27,150
716,y,29.38,106.52,356
717,y,26.65,118.17,730
718,y,30.47,111.15,1500
719,y,29.1,119.65,42
720,y,32.07,118.83,75
722,y,29.342501,115.972806,16
723,y,30.77,119.32,197
726,y,27.93,119.45,846
728,y,25.07,102.68,1907
729,y,31.97,108.8,2030
730,y,27.92,108.68,1400
731,y,25.68,109.65,418
732,y,22.4,113.98,140
733,y,26.12,119.45,174
735,y,27.7,108.85,450
737,y,22.5,114.13,179
738,y,27.62,119.32,1500
739,y,23.08,114.4,59
740,y,24.3,112.72,474
741,y,24.5,121.58333,1930
742,y,26.466667,111.316667,173
743,y,24.48333,109.73333,265
744,y,27.81111,114.66805,260
745,y,29.016667,107,920
747,y,26.066667,110.133333,350
748,y,27.25,112.683333,400
751,y,26.1,117.033333,506
5119,n,29.57916736,114.0958143,70
16772,n,28.74583416,121.0541365,190
3772,n,23.45416834,108.6791563,120
9527,n,25.53750134,109.0124891,330
10107,n,32.6625002,115.3041457,50
16377,n,25.24583472,121.5541357,609
10025,n,29.91250064,109.2208221,1212
5158,n,22.62083514,108.8458227,127
15793,n,33.53750006,105.5124947,1334
2994,n,23.53750166,108.3458235,273
6914,n,33.16250012,109.6374881,1148
11964,n,24.37083486,103.8041641,2025
2735,n,29.99583396,118.8458067,770
2760,n,30.12083394,117.3458091,420
4170,n,28.78750082,112.5541501,29
5101,n,24.78750146,116.5124771,223
5345,n,23.0791684,114.5541469,41
1476,n,25.41250136,106.8874925,501
8340,n,29.91250064,114.8458131,315
15176,n,24.1208349,107.9291575,492
827,n,31.07916712,114.1791475,63
19846,n,25.41250136,115.5124787,224
2179,n,24.82916812,107.4291583,562
2010,n,28.24583424,119.5541389,488
2637,n,31.03750046,115.8041449,332
435,n,21.70416862,112.6374833,165
1592,n,33.03750014,112.9708161,114
1158,n,27.28750106,102.4708329,2990
2146,n,32.6625002,108.0958239,1165
3664,n,31.66250036,104.3458299,882
3895,n,29.66250068,109.4708217,634
17857,n,30.74583384,118.8458067,152
534,n,24.03750158,114.8874797,255
14679,n,29.20416742,116.4708105,2
