"X","species","lat","lon","elev","species_factor"
2,1,25.126881,121.517863,3,"presence"
3,1,25.124614,121.517647,3,"presence"
4,1,21.9,106.800003,197,"presence"
5,1,29.5,117.5,400,"presence"
6,1,24.6,121.31667,1150,"presence"
7,1,24.361667,120.727778,315,"presence"
8,1,26.163056,119.949444,66,"presence"
9,1,24.463333,118.416111,216,"presence"
10,1,24.463056,118.415556,194,"presence"
11,1,25.098056,121.584722,303,"presence"
12,1,24.361944,120.728056,315,"presence"
13,1,25.126944,121.518889,156,"presence"
14,1,24.379444,120.721944,250,"presence"
15,1,24.376701,120.716956,250,"presence"
18,1,23.482511,111.795021,233,"presence"
19,1,24.88333,121.7,340,"presence"
21,1,24.08333,121.01667,640,"presence"
29,1,26.72,117.47,243,"presence"
30,1,29.816667,108.75,1150,"presence"
31,1,24.466667,118.383333,7,"presence"
32,1,30.05,109.833333,1744,"presence"
35,1,29.1,107,920,"presence"
36,1,26.066667,110.13333,861,"presence"
38,1,30.353794,119.436458,988,"presence"
39,1,29.788188,121.777939,200,"presence"
65,1,23.83,120.98,695,"presence"
66,1,26.32,116.34,250,"presence"
67,1,24.81,106.51,1246,"presence"
68,1,33.32,106.15,920,"presence"
69,1,23.9,106.61,162,"presence"
70,1,33.61,106.92,1130,"presence"
71,1,27.17,107.4,1044,"presence"
74,1,25.88,116.02,188,"presence"
75,1,28.67,118.24,127,"presence"
76,1,26.67,106.33,1307,"presence"
78,1,22.54,114.05,3,"presence"
79,1,27.2,109.83,258,"presence"
80,1,33.22,107.54,488,"presence"
81,1,28.56,108.5,458,"presence"
83,1,25.033889,121.5,4,"presence"
85,1,26.94,108.79,652,"presence"
86,1,24.819877,106.511936,1246,"presence"
87,1,28.26005,117.069218,44,"presence"
88,1,25.3,108.6,893,"presence"
89,1,33.06,107.03,511,"presence"
90,1,27.51,108.23,607,"presence"
91,1,30.02,108.18,676,"presence"
92,1,29,109.85,316,"presence"
93,1,27.3,105.28,1556,"presence"
94,1,29.35,107.61,1465,"presence"
95,1,27.75,118.03,195,"presence"
96,1,27.69,108.85,442,"presence"
102,1,26.72,110.63,485,"presence"
104,1,29.86,118.43,161,"presence"
106,1,25.17,110.35,156,"presence"
108,1,28.26,108.11,744,"presence"
109,1,28.15,109.2,912,"presence"
113,1,30.27,120.17,15,"presence"
115,1,29.33,108.24,848,"presence"
116,1,29.69,111.02,326,"presence"
117,1,26.43,110.85,349,"presence"
118,1,24.07,114.17,200,"presence"
119,1,25.04,116.42,179,"presence"
120,1,27.33,118.12,209,"presence"
121,1,32.58,110.7,751,"presence"
123,1,29.42,111.13,341,"presence"
124,1,32.1,114.08,122,"presence"
126,1,30.6,109.72,645,"presence"
129,1,28.43,118.19,123,"presence"
130,1,32.38,109.36,819,"presence"
132,1,31.04,110.34,861,"presence"
134,1,29.49,103.39,840,"presence"
139,1,30.19,119.36,188,"presence"
140,1,31.37,119.82,4,"presence"
142,1,24.175587,110.235565,1196,"presence"
143,1,27.39,114.61,110,"presence"
144,1,29.86,121.54,8,"presence"
147,1,24.83,114.14,568,"presence"
149,1,31.5,110.5,1858,"presence"
150,1,26.00537,110.599945,612,"presence"
151,1,31.05,109.41,353,"presence"
158,1,29.59,121.41,103,"presence"
160,1,30.06,102.75,774,"presence"
161,1,29.14,120.97,309,"presence"
162,1,24.33,116.62,376,"presence"
164,1,31.82,108.62,1257,"presence"
166,1,33.15,107.33,479,"presence"
175,1,31.79,115.4,116,"presence"
176,1,29.67,109.15,1070,"presence"
179,1,24.44,114.93,229,"presence"
181,1,25.60168,110.585686,307,"presence"
183,1,30.023401,108.185012,676,"presence"
188,1,32.05,118.79,3,"presence"
190,1,28.6,116.06,30,"presence"
194,1,30.29,108.93,1303,"presence"
201,1,26.58,107.97,747,"presence"
203,1,31.33,110.78,745,"presence"
208,1,32.08,118.27,10,"presence"
209,1,32.287722,105.524765,711,"presence"
210,1,25.12,113.77,144,"presence"
212,1,23.65,113.67,94,"presence"
213,1,26.58,114.1,1201,"presence"
214,1,24.81,113.18,306,"presence"
217,1,29.61,115.99,544,"presence"
220,1,28.676309,118.242051,162,"presence"
221,1,29.47,103.7,403,"presence"
225,1,30.273977,120.172974,15,"presence"
228,1,22.42,114.12,334,"presence"
229,1,28.44,117.97,64,"presence"
230,1,25.09,121.55,6,"presence"
231,1,28.65,105.1,366,"presence"
233,1,21.9,106.8,197,"presence"
234,1,25.722231,108.864586,408,"presence"
240,1,24.6,121.316667,1150,"presence"
241,1,25.033333,121.5,600,"presence"
242,1,23.133333,121.316667,615,"presence"
244,1,24.376667,120.721944,400,"presence"
247,1,25.031634,113.745146,133,"presence"
248,1,26.4,110.8,393,"presence"
249,1,25.0289,113.741,133,"presence"
250,1,23.167089,112.550904,114,"presence"
251,1,29.383203,106.523824,356,"presence"
253,1,27.946853,107.190331,1051,"presence"
254,1,24.813781,113.184435,306,"presence"
255,1,28.550025,107.443961,822,"presence"
256,1,29.496119,103.398589,840,"presence"
257,1,28.327568,106.203471,1370,"presence"
261,1,22.097768,107.957979,383,"presence"
262,1,27.340665,117.492653,231,"presence"
264,1,25.39996,112.948819,243,"presence"
265,1,24.399048,113.987821,381,"presence"
266,1,25.175621,110.351669,156,"presence"
267,1,23.376207,110.79743,118,"presence"
268,1,21.981682,108.653798,9,"presence"
270,1,22.073342,112.666329,28,"presence"
271,1,25.124499,113.773813,144,"presence"
272,1,24.466672,112.626493,314,"presence"
276,1,22.929376,112.044025,334,"presence"
279,1,26.79023,114.90886,73,"presence"
280,1,23.03755,114.639319,36,"presence"
282,1,24.045429,109.85442,136,"presence"
283,1,22.464142,107.839351,137,"presence"
284,1,23.25013,111.266023,160,"presence"
286,1,27.748854,107.465644,968,"presence"
287,1,32.055645,118.797741,3,"presence"
288,1,32.38885,109.361869,819,"presence"
289,1,29.955836,118.248811,268,"presence"
290,1,32.983099,107.766609,470,"presence"
295,1,32.085274,118.273326,10,"presence"
296,1,31.042327,110.340757,861,"presence"
299,1,27.221519,112.805557,85,"presence"
300,1,30.290996,108.936374,1303,"presence"
303,1,28.672732,104.010884,584,"presence"
306,1,29.371237,112.409331,35,"presence"
307,1,25.440455,118.698285,391,"presence"
308,1,25.091075,121.559835,6,"presence"
309,1,32.637983,103.59895,3036,"presence"
310,1,29.47037,103.701217,403,"presence"
311,1,31.865239,106.744731,403,"presence"
313,1,25.8568,118.80199,752,"presence"
315,1,31.824099,108.629497,1257,"presence"
318,1,31.662505,120.833688,5,"presence"
321,1,26.076106,119.306406,16,"presence"
322,1,23.127041,113.341527,12,"presence"
326,1,24.363061,120.723225,250,"presence"
327,1,24.368303,120.726211,250,"presence"
328,1,24.371559,120.729269,250,"presence"
329,1,24.360007,120.732044,250,"presence"
330,1,24.363586,120.714334,250,"presence"
331,1,24.371734,120.726164,250,"presence"
332,1,24.359369,120.728743,250,"presence"
333,1,24.359555,120.732242,250,"presence"
334,1,24.371826,120.727297,250,"presence"
335,1,24.372008,120.727888,250,"presence"
336,1,24.360368,120.732004,250,"presence"
337,1,24.359989,120.722099,250,"presence"
338,1,24.37137,120.724863,250,"presence"
339,1,24.368846,120.727225,250,"presence"
340,1,24.370101,120.722077,250,"presence"
341,1,24.372459,120.72769,250,"presence"
342,1,24.365137,120.722984,250,"presence"
343,1,24.360263,120.72406,250,"presence"
344,1,24.365774,120.726019,250,"presence"
345,1,24.370737,120.723919,250,"presence"
346,1,24.359731,120.729255,250,"presence"
347,1,24.369206,120.726169,250,"presence"
348,1,24.37011,120.727183,250,"presence"
349,1,24.358286,120.729337,250,"presence"
350,1,24.363242,120.723935,250,"presence"
351,1,24.370113,120.72876,250,"presence"
352,1,24.359809,120.722562,250,"presence"
353,1,24.359193,120.731415,250,"presence"
354,1,24.359356,120.721942,250,"presence"
355,1,24.358284,120.728194,250,"presence"
356,1,24.359451,120.724258,250,"presence"
357,1,24.364507,120.72409,250,"presence"
358,1,24.368849,120.728408,250,"presence"
359,1,24.360091,120.728505,250,"presence"
360,1,24.358741,120.731061,250,"presence"
361,1,24.360728,120.731293,250,"presence"
362,1,24.35963,120.723667,250,"presence"
363,1,24.370925,120.728048,250,"presence"
364,1,24.371106,120.72856,250,"presence"
365,1,24.368662,120.724909,250,"presence"
366,1,24.365769,120.722944,250,"presence"
367,1,24.359011,120.730715,250,"presence"
368,1,24.372733,120.729385,250,"presence"
369,1,24.366953,120.728766,250,"presence"
370,1,24.358643,120.726695,250,"presence"
371,1,24.46,118.41,15,"presence"
372,1,24.5,121.12,2009,"presence"
374,1,24.58,121.32,1740,"presence"
