X,species,Latitude,Longitude,Elevation,Tmax_DJF,Tmax_MAM,Tmax_JJA,Tmax_SON,Tmin_DJF,Tmin_MAM,Tmin_JJA,Tmin_SON,Tave_DJF,Tave_MAM,Tave_JJA,Tave_SON,PPT_DJF,PPT_MAM,PPT_JJA,PPT_SON,DD_0_DJF,DD_0_MAM,DD_0_JJA,DD_0_SON,DD5_DJF,DD5_MAM,DD5_JJA,DD5_SON,DD_18_DJF,DD_18_MAM,DD_18_JJA,DD_18_SON,DD18_DJF,DD18_MAM,DD18_JJA,DD18_SON,NFFD_DJF,NFFD_MAM,NFFD_JJA,NFFD_SON,PAS_DJF,PAS_MAM,PAS_JJA,PAS_SON,Eref_DJF,Eref_MAM,Eref_JJA,Eref_SON,CMD_DJF,CMD_MAM,CMD_JJA,CMD_SON,RH_DJF,RH_MAM,RH_JJA,RH_SON,MAT,MWMT,MCMT,TD,MAP,AHM,DD_0,DD5,DD_18,DD18,NFFD,PAS,EMT,EXT,Eref,CMD,RH
2,"presence",25.126881,121.517863,3,19.1,24.7,31.8,26.6,13.7,18.3,25.1,21.3,16.4,21.5,28.5,23.9,445,554,745,1049,0,0,0,0,1008,1499,2142,1694,203,49,1,19,64,372,959,548,88,91,92,90,0,0,0,0,171,327,420,252,0,0,0,0,83,81,81,84,22.6,29.2,15.6,13.6,2793,11.7,0,6342,272,1943,361,0,8.1,35.1,1170,0,82
3,"presence",25.124614,121.517647,3,19.1,24.8,31.9,26.6,13.8,18.4,25.2,21.4,16.4,21.6,28.5,24,431,549,742,1022,0,0,0,0,1014,1505,2148,1702,198,48,1,18,66,377,966,554,88,91,92,90,0,0,0,0,171,328,420,253,0,0,0,0,83,81,81,84,22.6,29.3,15.7,13.6,2744,11.9,0,6369,265,1963,361,0,8.3,35.2,1172,0,82
4,"presence",21.9,106.800003,197,19.1,26.6,32.2,27.9,11.3,19,23.9,18.7,15.2,22.8,28,23.3,90,281,694,270,0,0,0,0,906,1615,2101,1639,287,35,1,27,40,474,917,501,88,91,92,90,0,0,0,0,217,380,468,344,127,99,0,98,75,77,76,73,22.3,28.2,14.3,13.9,1336,24.2,0,6260,350,1932,361,0,4.9,36.5,1409,324,76
5,"presence",29.5,117.5,400,10.3,20.5,31.1,22.8,1,11.4,22.2,12.9,5.6,15.9,26.7,17.9,228,651,592,235,7,1,0,1,137,995,1979,1157,1109,321,3,219,0,122,792,205,53,89,92,89,7,0,0,0,135,321,455,268,0,0,39,34,69,72,74,70,16.5,27.9,4.4,23.4,1706,15.5,9,4268,1653,1119,322,7,-5.7,36.7,1178,73,71
6,"presence",24.6,121.31667,1150,14.2,20.5,26.6,21.9,5.8,11.3,17.1,13.1,10,15.9,21.9,17.5,243,471,853,681,1,0,0,0,454,998,1541,1123,729,270,21,177,4,72,361,128,84,90,92,90,1,0,0,1,177,338,430,278,0,0,0,0,72,71,72,73,16.3,22.6,9.2,13.4,2247,11.7,1,4116,1198,566,356,2,-2.3,31.3,1223,0,72
7,"presence",24.361667,120.727778,315,20.1,25.6,30.8,27.5,11.5,17.4,23.1,18.9,15.8,21.5,27,23.2,141,472,883,199,0,0,0,0,958,1496,2005,1633,242,46,2,23,51,367,823,490,88,91,92,90,0,0,0,0,216,369,438,318,78,0,0,152,73,76,78,75,21.9,27.4,15,12.4,1695,18.8,0,6091,314,1732,361,0,5.1,34.8,1342,230,75
8,"presence",26.163056,119.949444,66,13.7,19.5,29.6,23.9,9.6,14.8,24.4,19.7,11.6,17.1,27,21.8,163,430,355,252,0,0,0,0,594,1104,2009,1506,578,225,3,53,9,135,829,395,88,91,92,90,0,0,0,0,125,244,353,207,5,0,96,0,86,85,85,88,19.4,28.1,10.7,17.4,1200,24.5,1,5213,858,1368,360,1,4.1,34,929,101,86
9,"presence",24.463333,118.416111,216,17.7,22.3,31,27.1,10.3,16.1,24.6,19.9,14,19.2,27.8,23.5,111,347,396,144,0,0,0,0,808,1294,2086,1653,382,118,2,27,25,235,904,515,88,91,92,90,0,0,0,0,190,304,406,292,78,5,50,148,76,81,82,79,21.1,28.7,13.3,15.4,998,31.2,0,5840,530,1680,361,0,4.9,34.5,1191,281,79
10,"presence",24.463056,118.415556,194,17.7,22.3,31,27,10.3,16.1,24.7,19.9,14,19.2,27.8,23.5,111,347,396,144,0,0,0,0,809,1294,2085,1654,382,118,2,27,25,235,904,516,88,91,92,90,0,0,0,0,189,303,404,291,78,5,50,147,77,81,82,79,21.1,28.7,13.3,15.4,997,31.2,0,5842,529,1680,361,0,4.9,34.5,1188,280,79
11,"presence",25.098056,121.584722,303,17.3,23,30.1,24.5,12.3,16.9,23.7,19.7,14.8,20,26.9,22.1,484,587,734,1008,0,0,0,0,868,1359,2001,1534,318,84,2,37,33,261,820,404,88,91,92,90,0,0,0,0,158,307,397,230,0,0,0,0,84,81,81,86,20.9,27.6,14.1,13.5,2813,11,0,5762,441,1519,361,1,6.3,33.7,1091,0,83
12,"presence",24.361944,120.728056,315,20.1,25.6,30.8,27.5,11.5,17.4,23.1,18.9,15.8,21.5,27,23.2,141,472,884,199,0,0,0,0,958,1496,2005,1632,242,46,2,23,51,367,823,490,88,91,92,90,0,0,0,0,216,369,438,318,78,0,0,152,73,76,78,75,21.9,27.4,15,12.4,1696,18.8,0,6091,314,1731,361,0,5.1,34.8,1342,230,75
13,"presence",25.126944,121.518889,156,18.2,23.8,30.8,25.6,13,17.6,24.4,20.6,15.6,20.7,27.6,23.1,448,555,747,1057,0,0,0,0,938,1427,2065,1622,259,67,2,25,47,309,883,481,88,91,92,90,0,0,0,0,164,315,402,242,0,0,0,0,83,81,82,85,21.8,28.4,14.8,13.6,2807,11.3,0,6051,353,1720,361,0,7.2,34.3,1122,0,83
14,"presence",24.379444,120.721944,250,20,25.5,30.9,27.5,11.8,17.7,23.5,19.3,15.9,21.6,27.2,23.4,145,476,860,200,0,0,0,0,968,1504,2031,1650,234,45,2,22,54,375,849,506,88,91,92,90,0,0,0,0,212,363,431,312,73,0,0,147,75,77,79,76,22,27.7,15.1,12.6,1682,19,0,6153,303,1784,361,0,5.6,34.9,1318,220,76
15,"presence",24.376701,120.716956,250,20,25.6,31,27.6,11.9,17.7,23.6,19.4,15.9,21.6,27.3,23.5,143,472,850,195,0,0,0,0,971,1507,2033,1653,231,45,2,22,54,377,851,509,88,91,92,90,0,0,0,0,212,364,431,313,75,0,0,150,74,76,79,76,22.1,27.8,15.1,12.6,1660,19.3,0,6165,300,1792,361,0,5.6,34.9,1321,225,76
18,"presence",23.482511,111.795021,233,16.5,24.2,32.6,26.9,8.2,16.8,23.5,17.2,12.4,20.5,28,22,160,589,618,253,0,0,0,0,655,1407,2103,1528,502,87,2,56,12,310,920,420,87,91,92,90,0,0,0,0,195,348,487,335,50,2,0,82,73,78,74,71,20.7,28.7,11.6,17.1,1619,19,1,5693,646,1663,360,0,1.7,36.6,1365,134,74
19,"presence",24.88333,121.7,340,17.4,23,30,24.4,10.9,15.5,21.5,17.8,14.1,19.3,25.8,21.1,525,569,907,1326,0,0,0,0,816,1296,1896,1444,370,102,4,55,26,218,706,328,88,91,92,90,0,0,0,0,176,333,445,266,0,0,0,0,79,77,75,80,20.1,26.4,13.5,12.9,3327,9,0,5452,531,1278,361,1,4.2,33.6,1221,0,78
21,"presence",24.08333,121.01667,640,22,26.2,29.8,27.6,10.9,16,20.3,17.4,16.5,21.1,25,22.5,224,762,1260,328,0,0,0,0,1017,1460,1830,1568,194,45,5,26,66,330,641,428,88,91,92,90,0,0,0,0,254,412,465,341,62,0,0,126,66,69,72,70,21.3,25.4,15.7,9.6,2575,12.1,0,5875,271,1465,361,0,3.6,33.6,1471,188,70
29,"presence",26.72,117.47,243,14.6,23.2,32.3,25.5,4.5,14,22.2,15.1,9.5,18.6,27.2,20.3,212,720,548,213,1,0,0,0,415,1232,2031,1372,770,168,2,113,3,216,850,316,80,91,92,90,1,0,0,0,178,357,497,312,18,0,95,99,67,72,71,69,18.9,28.3,8.5,19.8,1693,17.1,2,5050,1053,1384,352,1,-2.4,36.9,1343,212,70
30,"presence",29.816667,108.75,1150,6.8,17.1,27.2,18.3,0.2,9,18.5,10.6,3.5,13.1,22.8,14.4,85,421,636,364,22,2,0,1,61,742,1632,859,1298,497,16,400,0,33,452,70,44,87,92,88,6,1,0,1,102,277,408,215,17,0,0,0,77,74,74,76,13.5,23.9,2.5,21.4,1505,15.6,25,3293,2210,555,310,8,-7.9,33.7,1002,17,75
31,"presence",24.466667,118.383333,7,17.6,22.2,30.8,26.9,10.5,16.2,24.9,20.2,14.1,19.2,27.8,23.6,110,348,394,145,0,0,0,0,815,1290,2084,1664,377,119,2,26,26,233,902,524,88,91,92,90,0,0,0,0,185,299,389,284,74,2,38,139,78,81,83,80,21.2,28.7,13.3,15.4,997,31.3,0,5853,523,1685,361,0,5.2,34.4,1157,253,80
32,"presence",30.05,109.833333,1744,2.1,12.9,22.8,14,-3.6,5.2,15,6.9,-0.7,9,18.9,10.4,123,517,846,431,153,12,0,8,11,446,1272,532,1663,829,77,703,0,4,158,13,11,73,91,80,42,15,1,7,25,236,349,182,0,0,0,0,78,75,76,77,9.4,19.9,-1.7,21.6,1917,10.1,173,2261,3272,175,255,65,-12.5,30.4,792,0,76
35,"presence",29.1,107,920,8.9,19.8,29.2,19.9,3.4,12,20.5,13.3,6.2,15.9,24.8,16.6,73,336,502,299,6,0,0,1,162,995,1811,1040,1065,297,7,261,0,97,630,136,75,90,92,90,2,0,0,0,108,299,431,217,35,28,0,0,81,76,75,79,15.9,26,5.1,20.9,1209,21.4,7,4008,1630,863,346,2,-4.1,35.4,1054,63,78
36,"presence",26.066667,110.13333,861,6.2,16.8,26.8,17.6,-0.5,9.1,18.8,10.4,2.9,13,22.8,14,199,633,673,297,30,2,0,2,49,735,1624,821,1350,507,16,432,0,34,443,63,37,86,92,87,20,2,0,2,112,280,400,224,0,0,0,4,76,75,76,77,13.1,23.9,1.7,22.2,1801,12.9,34,3229,2305,540,302,24,-8.8,33.2,1015,4,76
38,"presence",30.353794,119.436458,988,6,16.2,26.6,17.9,-2.5,7.4,18.9,9.7,1.8,11.8,22.7,13.8,187,467,662,359,52,3,0,2,32,645,1619,803,1445,597,19,448,0,21,442,59,18,81,92,85,29,4,0,2,105,273,383,211,0,0,0,0,69,72,77,74,12.5,24.2,0.6,23.5,1674,13.5,57,3099,2509,521,275,34,-10.4,33,972,0,73
39,"presence",29.788188,121.777939,200,10.2,17.9,29.1,22.5,3,11.1,22.7,15.5,6.6,14.5,25.9,19,181,383,535,355,5,1,0,0,194,867,1908,1254,1021,395,5,170,0,64,727,252,73,89,92,90,4,0,0,0,122,266,379,228,0,0,0,0,76,78,81,78,16.5,27.3,5.9,21.4,1454,18.2,6,4224,1592,1043,344,4,-2.5,34.6,996,0,78
65,"presence",23.83,120.98,695,20.6,24.7,28.3,26.3,10.7,16,20,17.2,15.6,20.4,24.2,21.7,170,624,1188,334,0,0,0,0,944,1394,1750,1500,252,58,8,35,47,270,566,365,88,91,92,90,0,0,0,0,236,371,428,318,67,0,0,96,69,74,75,73,20.5,24.5,14.9,9.6,2316,13.2,0,5588,353,1249,361,0,3.3,32.3,1352,163,73
66,"presence",26.32,116.34,250,14.2,23,32,25.2,4.5,14.6,22.9,15.5,9.3,18.8,27.4,20.4,211,718,506,215,1,0,0,0,398,1250,2048,1378,787,167,2,110,1,232,867,320,80,91,92,90,1,0,0,0,175,343,476,304,20,0,112,88,68,74,74,71,19,28.4,8.3,20.1,1650,17.6,2,5075,1066,1420,352,1,-2.1,36.8,1298,220,72
67,"presence",24.81,106.51,1246,12.2,21.4,26,20.2,4.6,12.9,19,13.1,8.4,17.2,22.5,16.6,61,308,755,280,2,0,0,0,317,1106,1597,1046,869,203,16,235,1,118,416,108,81,90,92,90,1,0,0,0,157,333,374,243,96,86,0,10,75,74,79,78,16.2,23,7.4,15.7,1403,18.6,3,4066,1323,643,353,1,-3.4,32.2,1107,192,76
68,"presence",33.32,106.15,920,7.5,19.3,28.1,17.6,-2,8.2,17.5,8.9,2.7,13.8,22.8,13.2,17,170,423,218,33,1,0,3,46,801,1626,758,1364,443,15,479,0,44,445,44,21,86,92,84,2,0,0,1,105,320,443,201,87,149,58,30,67,65,69,72,13.1,23.6,1.6,22.1,829,27.9,36,3230,2302,533,282,3,-10.6,34,1068,324,68
69,"presence",23.9,106.61,162,19.4,28.3,33.3,28.1,10.7,19.1,24.4,18.9,15,23.7,28.9,23.5,49,260,577,214,0,0,0,0,889,1691,2179,1656,301,20,1,29,37,536,995,519,88,91,92,90,0,0,0,0,216,419,491,338,166,159,0,124,73,73,75,73,22.8,29.3,14,15.4,1100,29.8,0,6414,351,2087,361,0,4.5,38.5,1463,449,73
70,"presence",33.61,106.92,1130,6,17.3,26.1,15.9,-5.1,5.4,14.9,6.1,0.4,11.3,20.5,11,22,173,449,251,96,3,0,6,18,594,1419,578,1566,627,40,639,0,12,258,18,5,76,91,75,5,1,0,3,69,305,428,198,54,131,54,14,60,62,67,68,10.8,21.6,-0.8,22.4,896,23.3,106,2610,2872,287,247,9,-14.6,32.3,1000,253,64
71,"presence",27.17,107.4,1044,9.1,19.5,27.5,19.7,2.4,11.3,19.3,12.3,5.8,15.4,23.4,16,66,310,467,246,7,0,0,1,143,951,1682,994,1099,323,12,280,0,79,501,108,68,90,92,89,2,0,0,0,123,307,407,235,57,42,7,5,77,74,76,77,15.2,24.4,4.7,19.7,1090,23.1,8,3770,1713,688,338,2,-5.5,33.8,1072,111,76
74,"presence",25.88,116.02,188,14.5,23.6,32.7,25.7,5.3,15.4,23.5,16.1,9.9,19.5,28.1,20.9,215,703,527,234,1,0,0,0,446,1312,2107,1430,739,137,2,95,4,270,925,356,83,91,92,90,1,0,0,0,177,349,485,310,15,0,104,76,70,75,74,71,19.6,29,8.8,20.2,1679,17.6,1,5295,973,1556,355,1,-1.1,37.3,1321,195,73
75,"presence",28.67,118.24,127,11.5,21.4,32.5,24.2,3,13,23.5,14.9,7.2,17.2,28,19.5,251,734,558,237,3,0,0,0,230,1110,2101,1307,971,253,2,154,0,173,921,289,72,90,92,90,4,0,0,0,141,323,474,277,0,0,96,41,72,74,74,72,18,29.3,6.1,23.2,1781,15.7,4,4748,1379,1382,343,4,-2.9,37.7,1216,137,73
76,"presence",26.67,106.33,1307,9.5,19.8,26.1,19.1,2.7,11.2,18.4,12,6.1,15.5,22.2,15.5,61,313,590,268,6,0,0,1,160,959,1576,951,1069,309,18,297,0,72,395,83,70,90,92,89,1,0,0,1,129,316,385,228,69,63,0,3,77,73,77,78,14.9,23,5,18,1232,20.2,7,3645,1694,550,340,2,-5.6,32.6,1057,135,76
78,"presence",22.54,114.05,3,19.5,25.7,31.6,28,11.3,18.9,24.9,20.1,15.4,22.3,28.2,24,106,521,984,362,0,0,0,0,924,1571,2120,1704,271,38,1,21,44,434,938,559,88,91,92,90,0,0,0,0,220,352,422,323,115,21,0,56,74,80,81,77,22.5,28.6,14.6,14,1973,16.5,0,6320,331,1975,361,0,5.4,35.8,1318,192,78
79,"presence",27.2,109.83,258,10.3,21,31.6,22.8,3.3,12.8,22.5,14.2,6.8,16.9,27,18.5,143,461,430,249,4,0,0,0,203,1081,2013,1213,1008,265,3,188,0,149,832,225,74,90,92,90,3,0,0,0,132,323,470,271,7,0,93,51,76,74,74,74,17.3,28.1,5.6,22.5,1282,21.3,5,4510,1463,1207,345,3,-3.5,37,1196,151,75
80,"presence",33.22,107.54,488,8.7,20.5,30.7,19.4,-0.5,9.9,20.7,11.1,4.1,15.2,25.7,15.3,18,192,384,259,17,1,0,1,77,929,1889,931,1247,353,4,362,0,85,703,105,36,88,92,87,1,0,0,1,111,326,460,212,93,134,92,13,68,67,71,74,15.1,26.6,2.9,23.7,853,29.4,19,3826,1966,893,303,2,-8.1,35.8,1110,332,70
81,"presence",28.56,108.5,458,10,20.7,30.9,21.8,3.5,12.5,21.8,14.1,6.7,16.6,26.4,17.9,72,351,465,279,4,0,0,0,198,1058,1952,1164,1012,272,4,207,0,135,764,199,76,90,92,90,1,0,0,0,121,315,458,246,49,24,45,0,78,74,74,76,16.9,27.5,5.7,21.8,1167,23.1,5,4372,1495,1098,347,2,-3.5,36.6,1140,118,76
83,"presence",25.033889,121.5,4,19.5,25.3,32.8,27.4,13.7,18.4,25,21.3,16.6,21.9,28.9,24.3,309,553,795,607,0,0,0,0,1029,1531,2183,1731,189,42,1,16,72,398,1000,582,88,91,92,90,0,0,0,0,179,343,458,275,0,0,0,0,82,79,78,82,22.9,29.6,15.8,13.8,2264,14.5,0,6473,248,2051,361,0,8.1,36.2,1256,0,80
85,"presence",26.94,108.79,652,9.6,20.2,29.5,21.2,2.5,11.7,20.5,12.8,6,15.9,25,17,95,367,443,239,6,0,0,1,158,996,1828,1077,1074,306,6,242,0,108,645,155,68,90,92,89,2,0,0,0,129,318,444,258,33,26,45,36,76,74,74,74,16,25.9,5,21,1145,22.7,7,4059,1629,907,339,3,-5.2,35.4,1149,140,74
